sample_no,date,location,depth,swc,ctot,ntot,ptot,eoc,en,olsenp,cmic,nmic,pmic,bg,nag,ap
FACE_161,6/7/2016,120_III,0-5 ,28.23,,,,,,2.28,,,6.67,153.96,342.59,1995.95
FACE_162,6/7/2016,120_III,5-15,27.21,,,,,,1.63,,,5.09,140.85,212.29,1379.81
FACE_163,6/7/2016,200_I,0-5 ,33.00,,,,,,1.54,,,3.98,37.90,240.63,2629.52
FACE_164,6/7/2016,200_I,5-15,31.87,,,,,,1.53,,,2.39,27.81,112.48,1602.98
FACE_165,6/7/2016,200_II,0-5 ,33.55,,,,,,2.12,,,3.80,51.09,227.02,3004.98
FACE_166,6/7/2016,200_II,5-15,29.65,,,,,,1.53,,,2.55,19.14,60.07,1105.52
FACE_167,6/7/2016,200_III,0-5 ,31.99,,,,,,2.02,,,3.91,40.16,152.49,1999.88
FACE_168,6/7/2016,200_III,5-15,27.79,,,,,,1.41,,,2.81,55.53,39.58,655.01
FACE_169,6/7/2016,280_I,0-5 ,28.49,,,,,,1.58,,,3.14,23.48,78.98,1180.35
FACE_170,6/7/2016,280_I,5-15,28.00,,,,,,1.95,,,2.71,30.67,76.18,1049.21
FACE_171,6/7/2016,280_II,0-5 ,28.03,,,,,,1.55,,,5.04,48.55,116.93,1140.07
FACE_172,6/7/2016,280_II,5-15,26.80,,,,,,1.67,,,3.88,16.91,30.03,541.39
FACE_173,6/7/2016,280_III,0-5 ,28.28,,,,,,1.90,,,4.28,37.51,156.03,1726.23
FACE_174,6/7/2016,280_III,5-15,26.88,,,,,,2.01,,,3.11,20.24,56.43,1096.00
FACE_175,6/7/2016,360_I,0-5 ,30.07,,,,,,2.42,,,6.23,79.76,140.10,1624.66
FACE_176,6/7/2016,360_I,5-15,27.31,,,,,,1.85,,,2.69,25.33,88.18,849.27
FACE_177,6/7/2016,360_II,0-5 ,29.64,,,,,,2.18,,,7.39,37.09,263.81,3070.12
FACE_178,6/7/2016,360_II,5-15,28.59,,,,,,1.84,,,2.99,46.76,384.62,1912.89
FACE_179,6/7/2016,360_III,0-5 ,31.06,,,,,,1.63,,,4.91,62.68,334.54,3021.47
FACE_180,6/7/2016,360_III,5-15,28.90,,,,,,2.10,,,2.66,22.11,74.68,1240.90
FACE_181,6/7/2016,440_I,0-5 ,35.15,,,,,,2.14,,,6.85,82.56,547.66,5494.50
FACE_182,6/7/2016,440_I,5-15,29.55,,,,,,1.85,,,3.82,37.34,209.48,1885.61
FACE_183,6/7/2016,440_II,0-5 ,32.61,,,,,,2.10,,,4.39,75.13,330.65,1444.17
FACE_184,6/7/2016,440_II,5-15,28.58,,,,,,1.61,,,3.23,31.41,87.99,1789.84
FACE_185,6/7/2016,440_III,0-5 ,28.91,,,,,,2.05,,,4.34,36.57,203.74,1776.42
FACE_186,6/7/2016,440_III,5-15,26.42,,,,,,1.36,,,4.39,24.30,77.99,860.32
FACE_207,7/6/2016,40_I,0-5 ,29.17,,,,,,1.42,,,4.63,36.45,167.34,3886.04
FACE_208,7/6/2016,40_I,5-15,24.87,,,,,,1.20,,,1.62,12.72,46.02,2355.80
FACE_209,7/6/2016,40_II,0-5 ,28.38,,,,,,2.01,,,2.49,19.16,120.16,3636.23
FACE_210,7/6/2016,40_II,5-15,24.89,,,,,,1.09,,,2.24,19.56,58.54,2262.06
FACE_211,7/6/2016,40_III,0-5 ,27.85,,,,,,1.21,,,3.39,34.29,61.43,4299.07
FACE_212,7/6/2016,40_III,5-15,25.25,,,,,,0.93,,,3.12,18.25,43.92,2498.07
FACE_213,7/6/2016,120_I,0-5 ,28.26,,,,,,1.82,,,3.95,36.59,350.47,6227.57
FACE_214,7/6/2016,120_I,5-15,26.11,,,,,,1.11,,,1.51,22.93,57.44,2714.54
FACE_215,7/6/2016,120_II,0-5 ,30.20,,,,,,1.66,,,4.68,58.18,138.37,4456.83
FACE_216,7/6/2016,120_II,5-15,25.87,,,,,,1.24,,,2.80,34.55,90.49,3944.01
FACE_217,7/6/2016,120_III,0-5 ,29.49,,,,,,2.42,,,3.16,65.66,441.05,8117.65
FACE_218,7/6/2016,120_III,5-15,26.03,,,,,,1.10,,,2.25,17.67,42.04,2849.94
FACE_219,7/6/2016,200_I,0-5 ,32.95,,,,,,1.70,,,2.87,44.20,197.34,5205.21
FACE_220,7/6/2016,200_I,5-15,29.17,,,,,,1.29,,,2.82,16.44,70.58,3344.82
FACE_221,7/6/2016,200_II,0-5 ,33.29,,,,,,1.72,,,2.79,21.32,87.02,4913.58
FACE_222,7/6/2016,200_II,5-15,24.82,,,,,,0.88,,,1.61,4.98,10.46,1435.07
FACE_223,7/6/2016,200_III,0-5 ,32.95,,,,,,1.61,,,3.12,26.65,99.36,4626.20
FACE_224,7/6/2016,200_III,5-15,28.24,,,,,,1.10,,,2.53,8.54,30.78,2993.27
FACE_225,7/6/2016,280_I,0-5 ,33.71,,,,,,3.95,,,3.85,181.63,144.56,6570.59
FACE_226,7/6/2016,280_I,5-15,26.96,,,,,,2.03,,,1.13,61.07,72.56,6025.29
FACE_227,7/6/2016,280_II,0-5 ,27.90,,,,,,1.15,,,4.64,32.18,72.25,3706.28
FACE_228,7/6/2016,280_II,5-15,23.98,,,,,,1.57,,,1.37,7.40,37.10,2871.47
FACE_229,7/6/2016,280_III,0-5 ,27.70,,,,,,1.65,,,2.97,77.29,200.58,5274.46
FACE_230,7/6/2016,280_III,5-15,24.11,,,,,,0.82,,,3.56,26.40,73.63,3008.30
FACE_231,7/6/2016,360_I,0-5 ,31.17,,,,,,1.64,,,6.09,56.39,192.21,5241.32
FACE_232,7/6/2016,360_I,5-15,28.85,,,,,,1.27,,,2.91,25.80,97.97,4294.83
